dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
2391,14,14,0,FALSE
1024,14,14,0,FALSE
1642,14,14,0,FALSE
15785,14,14,0,FALSE
1735,13,13,0,FALSE
22711,14,14,0,FALSE
24348,14,14,0,FALSE
40992,12,12,0,FALSE
1786,14,14,0,FALSE
878,12,12,0,FALSE
44951,14,14,0,FALSE
328,14,14,0,FALSE
40997,14,14,0,FALSE
42692,14,14,0,FALSE
1968,14,14,0,FALSE
309,14,14,0,FALSE
34553,14,14,0,FALSE
46730,14,14,0,FALSE
232,13,13,0,FALSE
1719,14,14,0,FALSE
41027,14,14,0,FALSE
45728,12,12,0,FALSE
29236,13,13,0,FALSE
1841,12,12,0,FALSE
24118,11,11,0,FALSE
21807,14,14,0,FALSE
41631,14,14,0,FALSE
48940,14,14,0,FALSE
24061,14,14,0,FALSE
4198,17,14,3,TRUE
15667,14,14,0,FALSE
859,14,14,0,FALSE
15462,13,13,0,FALSE
14274,17,14,3,TRUE
203,14,14,0,FALSE
17320,14,14,0,FALSE
308,12,12,0,FALSE
2385,13,13,0,FALSE
26608,13,13,0,FALSE
20188,14,14,0,FALSE
3879,14,14,0,FALSE
15925,14,14,0,FALSE
15919,13,13,0,FALSE
1432,14,14,0,FALSE
48895,20,14,6,TRUE
