radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
500,Europe,5000,spatial_model_estimated,selected,-0.048100000000000004,0.0076,0.0546,-0.047,climate,climate,0.045700541190619365,0.32832230907997595,0.6259771497294047,0.0010579080670594099,0.04705190043464613,0.09867142955265829,0.01958448404562574,0.16636572209998957,0.8336342779000104
500,Europe,5500,spatial_model_estimated,selected,-0.0809,0.0032,0.0713,-0.06810000000000001,climate,climate,0.016088486676721973,0.3584715937657114,0.6254399195575666,0.0034544182065585627,0.058687373771456386,0.11315311049903465,0.023551736917898247,0.19884663939494784,0.8011533606050522
500,Europe,6000,spatial_model_estimated,selected,-0.053399999999999996,0.0213,0.0633,-0.041999999999999996,climate,climate,0.123121387283237,0.36589595375722545,0.51098265895953765,0.020076658739875075,0.05065696420478516,0.08905285845363198,0.013271196042702882,0.1730576774409951,0.8269423225590049
500,Europe,6500,spatial_model_estimated,selected,-0.0143,0.0392,0.0456,-0.006400000000000003,climate,climate,0.22438465941614197,0.2610188895248998,0.5145964510589582,0.03211097251241024,0.030694078184375084,0.07919175775795062,0.03267319167288785,0.1746700001276238,0.8253299998723762
500,Europe,7000,spatial_model_estimated,selected,-0.027599999999999993,0.0351,0.0589,-0.0238,climate,climate,0.2101796407185629,0.35269461077844316,0.437125748502994,0.0294548218194014,0.04952401011561669,0.06594134514546623,0.02201237350670504,0.16693255058718937,0.8330674494128106
500,Europe,7500,spatial_model_estimated,selected,0.014400000000000003,0.0705,0.0582,0.012299999999999991,human,human,0.3796445880452342,0.3134087237479806,0.30694668820678517,0.05856593237488461,0.048420940507992505,0.04889771391103992,0.02981319387850878,0.18569778067242582,0.8143022193275742
500,Europe,8000,spatial_model_estimated,selected,-0.0395,0.0278,0.0738,-0.046000000000000006,climate,climate,0.16838279830405814,0.44700181708055725,0.38461538461538464,0.020136116360505052,0.07273558837766725,0.055482002609248626,0.01681553428231064,0.16516924162973157,0.8348307583702684
500,Europe,8500,spatial_model_estimated,selected,-0.0319,0.0317,0.0609,-0.029200000000000004,climate,climate,0.21983356449375868,0.4223300970873787,0.3578363384188627,0.018542748101745832,0.04493620380972019,0.05615431182097719,0.024599174282794456,0.14423243801523766,0.8557675619847623
500,North America,2000,spatial_model_estimated,selected,-0.0758,0.0144,0.0565,-0.0421,climate,climate,0.06763738844527947,0.26538280883043686,0.6669798027242837,0.0099014226351255,0.018300820239627424,0.10334596558071685,0.08136390486055411,0.2129121133160239,0.7870878866839761
500,North America,2500,spatial_model_estimated,selected,-0.0743,0.0173,0.059,-0.0417,climate,climate,0.0820293978188715,0.27975343764817445,0.638217164532954,0.012736242488590954,0.021840024219840548,0.09487920770229163,0.08148275280289907,0.2109382272136222,0.7890617727863778
